,alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_en,Energie (kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Fer (mg/100 g),Magnésium (mg/100 g),Vitamine D (µg/100 g),Vitamine C (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
348,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20023,"Céleri branche, cru","Celery stalk, raw","17,6","93,4","0,63","2,41",0.25,"1,3",0,"0,2",46,"0,06",11,0,"5,51","56,8",0
349,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20026,"Endive, crue","Endive, raw","20,2","94,3","1,19","2,83",0.25,"2,4",0,0.0065,20,"0,12","8,3",0,"2,12","25,6",0
350,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20028,"Fenouil, cru","Fennel, raw","21,8","92,9",1,"2,63",0.25,"2,2",0,"0,055",37,"0,2",11,0,"2,57","19,6",0
351,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20031,"Laitue, crue","Lettuce, raw",-,"95,3","1,3","1,33","0,2","0,73",0,"0,021","64,6","0,98","14,9",0,"11,8","43,5",0
352,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20034,"Oignon, cru","Onion, raw",-,"89,6","1,1","6,25","0,62","4,8",0,"0,098",25,"0,00019",9,0,"3,9","29,6",0
353,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20038,"Pissenlit, cru","Dandelion, raw",-,"85,3","2,91","6,1","0,85","0,71",0,"0,22","62,3","3,1","13,2",0,"37,5",27,0
354,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20039,"Poireau, cru","Leek, raw","32,3","87,6","1,49","4,9","0,25","3,15",0,"0,036","50,7","1,5",19,0,"18,5",73,0
355,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20041,"Poivron, vert, jaune ou rouge, cru","Bell pepper, green, yellow or red, raw",-,"92,1","0,8","4,55","0,27","2,7",0,"0,021","7,7","0,4","11,9",0.25,121,"40,7",-
356,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20044,"Potiron, cru","Pumpkin, raw",-,"91,6",1,"3,5","0,1","1,36",0,"0,0025",21,"0,8",12,0,9,16,0
357,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20045,"Radis rouge, cru","Red radish, raw","14,5","95,5","0,94","1,53",0.25,"1,1",0,"0,04",15,"0,4","6,2",0,"12,2","95,4",0
358,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20047,"Tomate, crue","Tomato, raw","19,3","94,1","0,86","2,49","0,26","2,48",0,"0,0081","8,14","0,12","10,1",0,"15,5","22,7",0
359,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20052,"Artichaut, cru","Artichoke, raw",-,"84,9","3,2","4,92","0,18","0,99",0,"0,15",52,"1,19","47,8",0,"11,7",68,0
360,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20053,"Aubergine, crue","Eggplant, raw",-,"92,9","1,12","2,39","0,14","2,39",0,"0,0063","8,7","0,32",12,0,"2,1","24,5",0
361,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20054,"Cardon, cru",Raw cardoon,-,94,"0,7","1,7","0,1","1,5",0,"0,43",70,"0,7",42,0,2,68,0
362,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20055,"Céleri-rave, cru","Celeriac, raw","29,3","88,8","1,38","3,98",0.25,"1,6",0,"0,085",40,"0,28",13,0,"2,87",39,0
363,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20056,"Champignon de Paris ou champignon de couche, cru","Paris mushroom or button mushroom, raw",28,"93,9","2,62","3,15","0,36","2,5",0,"0,098","6,03","0,31","10,5","0,3","3,09","34,5",0
364,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20057,"Brocoli, cru","Broccoli, raw",-,"88,9","3,95","1,7","0,48","1,7",0,"0,048","45,9","0,76","21,9",0,106,153,0
365,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20058,"Chou de Bruxelles, cru","Brussels sprouts, raw",-,85,"3,98","5,67","0,4","2,2",0,"0,041","32,3","1,15","23,5",0,103,"95,5",0
366,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20059,"Épinard, cru","Spinach, raw",-,"91,6","2,62","2,25","0,5","0,32",0,"0,17",114,"3,61","52,5",0,"41,1",207,0
367,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20061,"Haricot vert, cru","Green bean, raw",-,"90,4","1,85","4,14","0,21","3,26",0,"0,0096","48,5","1,02",21,0,"13,6","48,5",0
368,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20064,"Navet, pelé, cru","Turnip, peeled, raw",-,"91,9","0,76","4,7","0,1","3,8",0,"0,11",40,"0,4","9,5",0,"18,5","17,5",0
369,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20065,"Chou-rave, cru","Kohlrabi, raw",-,91,"1,79","2,35","0,1","2,35",0,"0,05",24,"0,4",19,0,"55,1",16,0
370,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20069,"Chou vert, cru","Green cabbage, raw",-,"91,8","2,53","1,92","0,41","1,92",0,"0,065","96,2","0,93",18,0,69,"67,9",0
371,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20070,"Haricot vert, surgelé, cru","Green bean, frozen, raw",34,"89,4","1,97","4,35","0,17","1,96",0,"0,013","51,5","0,85",22,0,18,"39,5",0
372,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20072,"Petits pois, crus","Peas, raw",-,"79,2","5,84",7,"0,55","5,67",0,"0,0088","27,5","1,64","30,5",0,"41,5",45,0
373,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20073,"Asperge, pelée, crue","Asparagus, peeled, raw",-,"93,3","2,04","2,4","0,21","1,88",0,"0,011",22,"1,32","11,5",0,"8,8",101,0
374,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20082,"Chou-fleur, surgelé, cru","Cauliflower, frozen, raw",-,"92,5","2,09","2,64","0,37","1,91",0,"0,047","21,7","0,51",12,0,"51,9",64,0
375,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20083,"Épinard, surgelé, cru","Frozen spinach, raw",-,"91,6","2,87","0,89","0,49","0,6",0,"0,098",159,"2,28","50,5",0,"21,4",183,0
376,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20084,"Petits pois, surgelés, crus","Frozen, raw peas",-,"80,2","5,86","8,77","0,44","3,87",0,"0,09","27,3","1,53","25,9",0,"20,8",87,0
377,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20085,"Poivron vert, cru","Green bell pepper, raw",26,93,"0,81","3,43",0.25,3,0,0.0065,"6,2","0,22","7,7",0,"26,9","55,1",0
378,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20087,"Poivron rouge, cru","Red bell pepper, raw","36,6","90,2","1,06","5,98",0.25,"4,8",0,0.0065,"4,8","0,21","8,2",0,121,"81,8",0
379,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20089,"Radis noir, cru","Black radish, raw","29,2","91,4","0,94","5,52",0.15,"4,3",-,"0,058",39,"0,23",10,0,"9,58","17,3",-
380,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20090,"Scarole, crue","Escarole, raw",-,"93,8","1,25","0,3","0,2","0,23",0,"0,055",52,"0,83",15,traces,"6,5",142,0
381,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20091,"Betterave rouge, crue",Raw red beet,-,"86,7","1,74","9,1","0,24","6,76",0,"0,15","22,1","0,7",19,0,"6,45",100,0
382,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20097,"Échalote, crue","Shallot, raw","63,6","82,3","1,81","12,2",0.25,"3,3",0,"0,013","9,5","0,12","7,5",0,8,"10,2",0
383,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20099,"Mâche, crue","Lamb's lettuce, raw","16,8","93,7",2,"0,5",0.25,traces,0,0.0065,41,"0,4",19,0,"2,38","45,5",0
384,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20101,"Légumes, mélange surgelé, crus","Vegetables, frozen mix, raw","65,1","85,2","2,26","5,71","2,65","2,18",0,"0,6",33,"0,98",24,0,"13,7",29,0.04
385,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20103,"Champignon, chanterelle ou girolle, crue","Mushroom, chanterelle or girolle, raw","33,1","88,7","2,28","2,3","0,78","1,87",0,"0,016","8,33","3,52",10,"5,3","5,5",2,0
386,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20105,"Champignon, morille, crue","Mushroom, morel, raw","24,5","89,6","3,16","0,1","0,54","0,044",-,"0,064",43,"1,2",19,"5,1",5,9,-
387,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20106,"Champignon, truffe noire, crue","Mushroom, black truffle, raw",-,"75,9","5,77",-,"0,51","0,7",0,"0,17",24,"3,5","23,8",0,1,44,-
388,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20108,"Maïs doux, en épis, surgelé, cru","Sweet corn, on the cob, frozen, raw",-,"73,3","3,36",17,"1,19","3,78",0,"0,01","4,18","0,59","30,3",0,"6,9","36,5",0
389,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20111,"Oseille, crue","Sorrel, raw",-,93,"1,84","1,6","0,65","1,54",0,"0,009",44,"2,4",103,0,48,13,0
390,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20114,"Champignon, pleurote, crue","Mushroom, oyster, raw","25,5","89,2","3,06","1,5","0,36","0,71",0,"0,034",5,"1,17",18,"0,7",4,38,0
391,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20116,"Chou blanc, cru","White cabbage, raw","36,5",90,"1,38","4,63","0,6","4,2",0,"0,033",59,"0,3",11,0,"8,88","69,6",0
392,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20119,"Tomate verte, crue","Green tomato, raw",-,93,"1,2",4,"0,2",4,0,"0,033",13,"0,51",10,0,"23,4",9,0
393,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20123,"Batavia, crue","Batavia, raw","17,9","95,6","1,25","1,78",0.25,"1,1",-,"0,015",26,"0,39","8,7",-,"4,38","65,6",-
394,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20126,"Haricot de Lima, cru","Lima bean, raw",105,"70,2","6,84","15,3","0,86","1,48",0,"0,02",34,"3,14",58,0,"23,4",34,0
395,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20128,"Courge musquée, pulpe, crue","Butternut squash, flesh, raw",-,"93,3","0,55","4,6","0,1",-,-,-,"18,3","0,43","6,25",-,"4,6",-,-
396,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20132,"Potimarron, pulpe, cru","Pumpkin, flesh, raw",-,"94,6","0,63","3,1","0,1",-,0,"0,074","18,5","0,27","7,13",0,5,36,0
397,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20134,"Courge hokkaïdo, pulpe, crue","Hokkaido squash, pulp, raw",-,"86,1","1,4","9,98","0,6",-,-,-,"24,7","0,4","10,8",-,"13,9",-,-
398,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20136,"Courge melonnette, pulpe, crue","Melon squash, pulp, raw",-,"91,2","0,75","5,98","0,13",-,-,-,"18,3","0,48","16,8",-,"9,7",-,-
399,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20138,"Courge doubeurre (butternut), pulpe, crue","Butternut squash, flesh, raw",-,"86,4",1,"5,4","0,1","2,2",0,"0,01",48,"0,7",34,0,21,27,0
400,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20139,"Courge, crue","Squash, raw",-,"92,3","1,1","1,6","0,17","1,6",0,"0,011","28,5","0,6","16,5",0,"14,7",34,0
401,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20145,"Courge spaghetti, pulpe, crue","Spaghetti squash, pulp, raw",-,"91,6","0,64","5,41","0,57","2,76",0,"0,043",23,"0,31",12,0,"2,1",12,0
402,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20151,"Piment, cru","Pepper, raw",-,"87,9","1,87","7,7","0,32","5,3",0,"0,02",14,"1,12",24,0,155,23,0
403,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20159,"Champignon, oronge vraie, crue","Mushroom, true chanterelle, raw","23,2","92,9",2,"2,45","0,3",1,0,"0,013",17,"1,1",-,"2,1",3,44,-
404,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20160,"Champignon, cèpe, cru","Mushroom, porcini, raw","31,6","90,3","3,13","3,03","0,43","1,7",0,"0,024",23,1,12,"3,1",3,44,-
405,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20161,"Champignon, rosé des prés, cru","Mushroom, field rose, raw","25,3","92,1","2,3","2,45","0,4",1,0,"0,013",10,"1,2",-,0,4,44,-
406,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20162,"Chicorée rouge, crue","Red chicory, raw",-,94,"1,4","1,6","0,1","1,6",0,"0,018",36,"0,3",-,0,10,13,-
407,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20163,"Chicorée verte, crue","Green chicory, raw",-,"91,2","1,9","0,5","0,5","0,5",0,"0,041","82,5","4,15",17,0,46,29,-
408,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20166,"Citrouille, pulpe, crue","Pumpkin, pulp, raw",-,"91,6",1,6,"0,1","2,76",0,"0,0025",21,"0,8",12,0,9,16,0
409,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20167,"Chou chinois ou pak-choi ou pé-tsai, cru","Chinese cabbage or pak choi or pe-tsai, raw",-,"95,2","1,38","1,65","0,2","1,18",0,"0,13","86,4","0,68","17,5",0,"40,3","73,6",0
410,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20168,"Poivron jaune, cru","Yellow bell pepper, raw","30,7","91,9","0,94","4,73","0,3","4,3",0,0.0065,"8,6","0,21",12,0,121,"43,3",0
411,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20171,"Laitue romaine, crue","Romaine lettuce, raw",-,"94,6","1,24","1,2","0,3","1,19",0,"0,02",33,"0,97",14,0,14,136,0
412,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20172,"Tomate cerise, crue","Cherry tomato, raw","33,7","90,1","1,31","5,62",0.25,"4,8",0,0.0065,"6,6","0,37",11,0,"21,8","17,6",0
413,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20173,"Pois mange-tout ou pois gourmand, cru","Snow peas, raw",-,"88,3","3,08","6,2","0,27",4,0,"0,01","40,7","2,08",24,0,60,42,0
414,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20181,"Panais, cru","Parsnip, raw","58,3","80,6","1,54","10,1","0,4","4,8",0,"0,02","45,5","0,7","29,5",0,"11,5",67,0
415,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20183,"Haricot mungo germé ou pousse de ""soja"", cru","Sprouted mung bean or ""soy"" sprout, raw",-,"91,7","2,57","3,4",0.25,"3,4",0,"0,043",16,"0,44",16,0.25,"4,13","61,3",0
416,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20192,"Tomate côtelée ou coeur de boeuf, crue","Ribbed tomato or beef heart, raw","19,8","94,4","0,5","3,23",0.25,"2,8",-,0.0065,"7,2","0,14","6,9",-,"11,7","65,4",-
417,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20195,"Haricot beurre, cru","Butter bean, raw",-,"90,1","1,85","5,6","0,16",-,0,"0,015",41,"1,07",26,0,"18,7","68,5",0
418,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20197,"Salsifis noir, ou scorsonère d'Espagne, cru","Black salsify, or Spanish scorzonera, raw",-,77,"3,13","15,3","0,3",-,0,"0,011","24,1","0,7","32,1",0,3,-,0
419,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20198,"Bambou, pousse, crue","Bamboo, shoot, raw","35,1","89,8","2,52","5,08","0,2",3,0,"0,01","15,5","0,4",3,0,"7,5",7,0
420,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20199,"Cresson alénois, cru","Watercress, raw",-,"91,1","2,55","2,2","0,6","2,2",0,"0,096","75,5","1,8",41,0,52,95,0
421,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20200,"Laitue iceberg, crue","Iceberg lettuce, raw",-,"95,6","1,01","2,45","0,18","1,48",0,"0,024","17,4","0,43","8,73",0,"4,72",48,0
422,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20201,"Rutabaga, cru","Rutabaga, raw",-,"89,5","1,17","5,7","0,13","4,46",0,"0,028","45,2","0,35",17,0,33,24,0
423,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20203,"Haricot beurre, surgelé, cru",Frozen raw butter bean,-,"89,9",2,"4,9","0,17","2,5",0,"0,0092",51,"0,78",22,0,16,15,0
424,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20204,"Brocoli, surgelé, cru","Broccoli, frozen, raw",-,"91,5","2,79","1,56","0,44","1,24",0,"0,05","48,5","0,77",17,0,"62,3","80,5",0
425,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20206,"Chou de Bruxelles, surgelé, cru","Brussels sprouts, frozen, raw",-,"86,3","3,43","4,5","0,33","2,35",0,"0,029",34,"0,82",22,0,"77,5","93,5",0
426,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20208,"Carotte, surgelée, crue","Carrot, frozen, raw",-,"90,9","0,63","4,99","0,27","4,73",0,"0,15","34,9","0,41",12,0,"4,32",10,0
427,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20210,"Concombre, pulpe, cru","Cucumber, pulp, raw","14,7","96,3","0,56","2,23",0.25,"1,8",0,0.0065,16,"0,14","8,9",0,"3,52","7,2",0
428,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20214,"Petits pois et carottes, surgelés, crus","Frozen, raw peas and carrots",-,"82,3","3,89","7,1","0,37","3,43",0,"0,082","29,5","1,2",18,0,"13,6",36,0
429,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20217,"Roquette, crue","Arugula, raw",-,"91,7","2,58","2,1","0,66","2,05",0,"0,068",160,"1,46",47,0,15,97,0
430,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20218,"Chou frisé, cru","Kale, raw",-,"82,8","4,33","4,2","1,07","2,26",0,"0,091",185,"1,74","33,5",0,145,101,0
431,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20228,"Champignon de Paris ou champignon de couche, surgelé, cru","Paris mushroom or layer mushroom, frozen, raw","15,9","93,2","1,8","0,83","0,25","0,25",-,"0,02",10,"0,8",-,-,4,-,-
432,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20230,"Courgette, pulpe et peau, surgelée, crue","Zucchini, pulp and skin, frozen, raw",-,"94,6","1,19","2,18","0,14","1,56",0,"0,019",20,"0,64",13,0,"9,32",10,0
433,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20231,"Crosne, surgelé, cru","Crosne, frozen, raw",-,-,"1,4","8,7",0,"0,5",-,"0,0025",-,-,-,-,-,-,-
434,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20232,"Artichaut, fond, surgelé, cru","Artichoke, heart, frozen, raw",-,"84,7","2,08","8,09","0,43","1,89",-,"0,18",-,-,-,-,-,-,-
435,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20233,"Maïs doux, surgelé, cru","Sweet corn, frozen, raw",-,"71,8","3,28","19,8","0,78","3,78",0,"0,013",4,"0,68",32,0,"7,2",40,0
436,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20234,"Navet, surgelé, cru","Turnip, frozen, raw",-,"95,7","0,82",2,"0,18","1,9",0,"0,066",23,"0,7",10,0,"4,4",8,0
437,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20235,"Oignon, surgelé, cru","Onion, frozen, raw",-,"91,1",1,"5,39","0,12","4,59",0,"0,02","26,5","0,4","8,5",0,"5,65",19,0
438,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20236,"Poireau, surgelé, cru","Leek, frozen, raw","26,7","93,2","1,42","3,35","0,29","2,95",-,"0,016",63,"0,8",-,-,26,-,-
439,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20237,"Salsifis, surgelé, cru","Salsify, frozen, raw",-,"85,8","2,65","4,15","0,15","2,5",-,"0,043",-,-,-,-,-,-,-
440,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20238,"Oignon rouge, cru","Red onion, raw","36,3","90,3","1,31","5,63","0,4","5,2",-,0.0065,22,"0,19",9,-,"4,09","10,9",-
441,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20239,"Oignon jaune, cru","Yellow onion, raw","37,8",89,"1,19","6,39",0.25,"0,2",-,0.0065,13,"0,1","5,4",-,"2,08",13,-
442,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20263,"Légumes pour potages, surgelés, crus","Vegetables for soups, frozen, raw","34,1","89,2","1,44","4,69","0,44","2,5",-,"0,052",37,1,-,-,25,-,-
443,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20265,"Julienne ou brunoise de légumes, surgelée, crue","Julienne or brunoise of vegetables, frozen, raw",-,-,"1,19","4,08","0,25","3,13",-,"0,1","43,5","0,55",-,-,9,-,-
444,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20266,"Légumes pour ratatouille, surgelés",Frozen ratatouille vegetables,-,"94,2","1,01","3,23","0,089","2,88",-,"0,11",-,-,-,-,-,-,-
445,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20267,"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)","Spring vegetable mix, frozen, raw (green beans, carrots, potatoes, peas, onions)",-,"85,7","2,4","8,48","0,078","2,62",-,"0,04",-,-,-,-,16,-,-
446,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20269,"Haricot plat, cru","Flat bean, raw",-,"92,2","1,93","4,47","0,12","1,3",-,"0,049",60,"0,8",-,-,16,-,-
447,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20270,"Épinard, jeunes pousses pour salades, cru","Spinach, young shoots for salads, raw","18,3","93,7","2,06",0.425,"0,4",traces,-,"0,063",110,"1,8",44,0.125,"6,04","78,6",-
448,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20272,"Mesclun ou salade, mélange de jeunes pousses","Mesclun or salad, mix of young shoots",-,-,2,"2,5",0,0,-,"0,048",-,-,-,-,-,-,-
449,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20276,"Tomate ronde, crue","Round tomato, raw","20,3","94,1","0,5","3,59",0.25,"2,8",-,0.0065,"6,8","0,17",7,-,"16,3","13,5",-
450,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20279,"Asperge, verte, crue","Asparagus, green, raw",-,"92,5","2,46","2,03","0,27","1,5",0,"0,014","22,4",1,"12,2",0,"15,5",150,0
451,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20280,"Chou romanesco ou brocoli à pomme, cru","Romanesco cabbage or broccoli with a head, raw",-,"89,8","2,93","2,2","0,4","2,2",0,"0,039","34,5","0,92",20,0,"70,6",57,0
452,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20282,"Asperge, blanche ou violette, pelée, crue","Asparagus, white or purple, peeled, raw",-,"92,4","2,5","2,5","0,3",-,0,"0,019","16,6",-,"7,3",0,18,150,0
453,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20283,"Salicorne (Salicornia sp.), fraîche","Samphire (Salicornia sp.), fresh",-,"92,2","0,67","1,1","0,24",-,-,"2,56","34,3","4,89","75,3",-,-,-,-
454,2,201,20101,"fruits, légumes, légumineuses et oléagineux",légumes,20288,"Salade sucrine, crue","Sweet lettuce, raw","17,9","94,8","1,13","2,58",0.15,"1,78",-,0.0065,23,"0,27","9,6",-,"2,32","57,2",-
